Symbol,Date,Type,Qty,Rate,Notes
AKJCL,1/17/2022,BUY,500,334.55,
GBIME,1/26/2022,BUY,113,342.85,
JBBL,6/2/2023,BUY,114,476,
UPPER,6/2/2023,BUY,18,806,
UPPER,6/2/2023,BUY,82,100,
KEF,6/2/2023,BUY,700,10,
SMHL,6/2/2023,BUY,10,100,
NICA,6/2/2023,BUY,36,100,
GVL,6/2/2023,BUY,10,100,
SJLIC,6/2/2023,BUY,212,739,
SBL,6/2/2023,BUY,128,437,
SANIMA,6/2/2023,BUY,880,318,
PCBL,6/2/2023,BUY,328,382,
NIMB,6/2/2023,BUY,151,398,
NICLBSL,6/2/2023,BUY,50,1603,
NICL,6/2/2023,BUY,222,856,
NHPC,6/2/2023,BUY,237,373,
NABIL,6/2/2023,BUY,50,808,
IGI,6/2/2023,BUY,106,607,
GBLBS,6/2/2023,BUY,50,1339,
NICL,6/25/2023,BONUS,18,0,
HLI,7/4/2023,BUY,10,100,
RAWA,7/4/2023,BUY,10,100,
MEL,7/4/2023,BUY,10,100,
ILI,7/16/2023,BUY,10,100,
NHPC,9/13/2023,RIGHT,119,100,
SANIMA,10/16/2023,BUY,120,226,
NICL,12/11/2023,SELL,240,879,
NICA,1/11/2024,BONUS,10,0,
HRL,1/11/2024,BUY,30,206,
SANIMA,1/14/2024,BONUS,79,0,
NICA,2/5/2024,BONUS,2,0,
UPPER,3/13/2024,RIGHT,100,100,
GVL,3/28/2024,SELL,10,433.5,
SMHL,3/31/2024,SELL,10,459,
MEL,3/31/2024,SELL,10,218.1,
NHPC,4/25/2024,BUY,644,144,
NICA,4/29/2024,BUY,12,354,
UPPER,4/29/2024,BUY,700,165,
UPPER,4/30/2024,BUY,700,163.8,
UPPER,5/8/2024,BUY,400,164,
GBIME,5/9/2024,BONUS,1,0,
HRL,5/9/2024,BONUS,1,0,
UMRH,6/4/2024,BUY,185,371,
UMRH,6/4/2024,BUY,315,378,
SJLIC,7/2/2024,BONUS,21,0,
SJLIC,7/11/2024,BONUS,1,0,
UMRH,7/19/2024,SELL,500,415,
NHPC,7/24/2024,SELL,1000,195.2,
IGI,7/24/2024,SELL,106,630,
SANIMA,7/24/2024,SELL,79,321,
RAWA,7/24/2024,SELL,10,615,
NICA,7/24/2024,SELL,60,504,
ILI,7/24/2024,SELL,10,507,
HLI,7/24/2024,SELL,10,433,
SANIMA,7/24/2024,SELL,1000,314,
UPPER,7/24/2024,SELL,2000,200,
PCBL,7/29/2024,BUY,390,300.5,
PCBL,7/30/2024,BUY,282,298,
PCBL,8/6/2024,BUY,400,283,
PCBL,8/7/2024,BUY,400,279,
PCBL,8/8/2024,BUY,200,277,
ILI,8/14/2024,BONUS,2,0,
AKJCL,11/12/2024,RIGHT,750,100,
AKJCL,11/27/2024,SELL,100,213.8,
AKJCL,11/27/2024,SELL,500,213.9,
AKJCL,12/2/2024,SELL,650,217,
PCBL,1/20/2025,BUY,151,239,
RIDI,2/2/2025,BUY,450,255,
RIDI,2/3/2025,BUY,480,250,
RIDI,2/4/2025,BUY,70,243,
GBIME,2/17/2025,BONUS,6,0,
MEN,2/24/2025,BUY,190,604,
MEN,2/25/2025,BUY,110,599.6,
SJLIC,3/3/2025,BUY,240,497,
HDL,3/4/2025,BUY,20,1332,
SJLIC,3/4/2025,BUY,26,488,
HRL,3/4/2025,BUY,69,1122,
ILI,3/5/2025,BUY,12,501.5,
HDL,3/5/2025,BUY,80,1302,
LICN,3/10/2025,BUY,100,1100,
BHL,5/11/2025,BUY,500,226,
LICN,5/28/2025,BUY,100,910,
PCBL,5/28/2025,BUY,99,251,
SONA,6/8/2025,BUY,250,449,
HLI,6/16/2025,BONUS,1,0,
TTL,7/15/2025,BUY,10,100,
HRL,8/28/2025,BONUS,4,0,
LICN,11/2/2025,RIGHT,20,100,
SAHAS,11/13/2025,BUY,500,671,
MEN,11/17/2025,BUY,100,639.9,
MEN,11/17/2025,BUY,100,644,
PCBL,12/31/2025,BUY,250,263.7,
HDL,1/5/2026,BONUS,20,0,
TTL,1/27/2026,SELL,10,1165.6,
RIDI,2/9/2026,SELL,1000,302,
HDL,2/10/2026,BUY,100,1138,
SAHAS,2/16/2026,BONUS,105,0,
PCBL,3/10/2026,BUY,500,262,
HDL,3/10/2026,BUY,100,1295.4,
SAHAS,3/10/2026,BUY,400,637.3,
